ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,consent,instr_gen,instr_purp,instr_art,Headache,head_time_1,head_time_2,head_time_3,head_time_4,head_q1,head_q2,head_q3,head_check,Nuclear,nuc_time_1,nuc_time_2,nuc_time_3,nuc_time_4,nuc_q1,nuc_q2,nuc_q3,nuc_check,Scanners,scan_time_1,scan_time_2,scan_time_3,scan_time_4,scan_q1,scan_q2,scan_q3,scan_check,TMS,tms_time_1,tms_time_2,tms_time_3,tms_time_4,tms_q1,tms_q2,tms_q3,tms_check,instr_scen,Scenario,sentence,blame_1,free_will_1,free_will_2,free_will_3,free_will_4,free_will_5,free_will_6,free_will_7,panas_1,panas_2,panas_3,panas_4,panas_5,panas_6,panas_7,panas_8,panas_9,panas_10,panas_11,panas_12,panas_13,panas_14,panas_15,panas_16,panas_17,panas_18,panas_19,panas_20,instr_dem,gender,age,race_1,race_2,race_3,race_4,race_5,race_6,race_7,race_7_TEXT,education_1,relig_1,Q26,politics_1,politics_2,politics_3,susp_open,susp_rel_1,instr_debr,LocationLatitude,LocationLongitude,LocationAccuracy
R_25ZPUaAltxwDQsy,Default Response Set,Anonymous,,,209.6.205.173,0,3/10/15 21:00,3/10/15 21:10,1,1,1,1,1,1,2.707,101.181,102.897,4,4,4,1,2,1,1.17,110.595,119.46,4,4,4,1,2,,,,,,,,,,,,,,,,,,,1,1,4,6,4,4,4,4,5,3,2,4,3,4,3,2,1,1,2,3,2,3,4,2,3,2,3,3,2,3,3,1,1,25,1,,,,,,,,5,1,3,2,2,2,The first studied how people interpret science articles and the second studied how people react to rehabilitation versus incarceration for a violent criminal.,3,1,42.40190125,-71.11930084,-1
R_3P68QCAiSECFkmv,Default Response Set,Anonymous,,,99.44.169.14,0,3/10/15 20:59,3/10/15 21:11,1,1,1,1,1,,,,,,,,,,,,,,,,,,,1,0,0,120.521,0,3,3,1,2,1,28.969,28.969,68.157,1,3,3,1,2,1,1,2,6,4,4,4,4,4,4,4,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,28,,,1,,,,,,8,2,3,4,3,5,How much a person can comprehend,2,1,37.65429688,-121.8552017,-1
R_PtvJVsyJ1bOZ0DT,Default Response Set,Anonymous,,,68.196.247.172,0,3/10/15 21:06,3/10/15 21:14,1,1,1,1,1,1,0,0,68.125,0,4,4,1,2,1,0,0,84.645,0,3,3,2,2,,,,,,,,,,,,,,,,,,,1,1,2,5,2,4,2,3,2,2,2,3,2,2,2,2,1,1,1,3,2,1,5,1,2,2,2,5,1,2,2,1,1,43,1,,,,,,,,7,1,2,1,1,1,comprehension and decision making,5,1,40.82170105,-74.15740204,-1
R_3jVD5VMpLIFkmko,Default Response Set,Anonymous,,,162.196.30.100,0,3/10/15 21:52,3/10/15 22:00,1,1,1,1,1,1,0,0,67.518,0,5,4,1,2,1,0,0,53.679,0,2,4,2,2,,,,,,,,,,,,,,,,,,,1,1,4,5,3,4,3,3,4,2,2,3,1,1,2,2,1,1,1,2,2,1,2,1,2,1,2,3,1,2,1,1,2,43,,,1,,,,,,9,1,4,2,2,6,If we were somehow influenced by the stories ,2,1,28.55529785,-81.34670258,-1
R_1JF9BKCqRIViT41,Default Response Set,Anonymous,,,66.168.96.49,0,3/11/15 9:30,3/11/15 9:35,1,1,1,1,1,1,0,0,17.18,0,3,3,2,2,1,12.095,14.062,14.638,4,3,3,1,2,,,,,,,,,,,,,,,,,,,1,1,5,7,3,4,2,3,2,4,3,3,4,2,5,4,2,3,2,4,3,1,2,4,3,2,3,2,4,1,2,1,1,27,1,,,,,,,,6,1,3,3,3,3,I'm not sure.,2,1,35.50030518,-85.00309753,-1
R_Ck3oSQhQF563P2h,Default Response Set,Anonymous,,,184.16.213.57,0,3/11/15 9:29,3/11/15 9:35,1,1,1,1,1,,,,,,,,,,,,,,,,,,,1,27.378,27.378,35.776,1,4,3,2,2,1,0,0,14.407,0,4,4,2,2,1,1,3,6,2,4,4,2,2,2,2,4,1,4,1,4,1,1,1,4,1,1,4,1,4,1,4,4,1,4,1,1,1,50,1,,,,,,,,2,1,2,6,6,6,,2,1,41.667099,-85.96589661,-1
R_ex4iRQFsUXM9LtX,Default Response Set,Anonymous,,,98.114.173.154,0,3/11/15 9:30,3/11/15 9:36,1,1,1,1,1,,,,,,,,,,,,,,,,,,,1,0,0,77.723,0,3,4,1,2,1,0,0,29.364,0,3,4,1,2,1,1,1,7,3,4,4,3,4,4,3,3,1,1,1,3,1,1,1,1,4,1,3,1,1,1,1,3,1,2,1,1,2,63,1,,,,,,,,9,2,3,1,1,3,"no clue, I just do surveys to best of my ability and move on",2,1,40.12460327,-75.53849792,-1
R_3qCZQM6CzWHhdlf,Default Response Set,Anonymous,,,184.18.196.203,0,3/11/15 9:31,3/11/15 9:36,1,1,1,1,1,1,21.564,21.564,61.91,1,5,5,1,2,1,1.135,36.451,52.038,2,5,4,2,2,,,,,,,,,,,,,,,,,,,1,1,5,7,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,1,1,1,1,2,22,1,,,1,,,,,3,1,2,1,1,1,The first is to see how people feel about alternatives in science; the second is how people feel how much criminals are responsible.,3,1,41.15660095,-85.11100006,-1
R_9zqdXV2kDoJeMHb,Default Response Set,Anonymous,,,50.125.72.224,0,3/11/15 9:31,3/11/15 9:36,1,1,1,1,1,,,,,,,,,,,,,,,,,,,1,39.852,39.852,47.247,1,3,3,1,2,1,34.714,34.714,37.202,1,3,3,1,2,1,1,1,7,5,5,3,5,5,5,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,1,35,1,,,,,,,,5,1,3,1,1,1,I have no idea what the research question is.,3,1,47.82090759,-122.3151016,-1
R_3rONszcRWcMB7rY,Default Response Set,Anonymous,,,207.213.146.4,0,3/11/15 9:30,3/11/15 9:38,1,1,1,1,1,1,0,0,167.235,0,4,4,1,2,1,0,0,55.168,0,2,2,2,2,,,,,,,,,,,,,,,,,,,1,1,3,7,4,4,3,4,4,4,4,3,2,1,2,1,1,1,1,1,1,2,4,1,1,1,1,4,1,1,1,1,2,32,1,,,,,,,,6,2,3,1,1,1,To see if reading about liberal holistic topics would make people more inclined to go with the treatment over incarceration?,3,1,34.06689453,-118.3108978,-1
